Country	Visa	EntryYear	ParamIndex	Value
Bangladesh	FamilyAgg	2004	0	0.9421341735302746
Bangladesh	FamilyAgg	2004	1	0.40774683195779404
Bangladesh	FamilyAgg	2004	2	0.029447512199874265
Bangladesh	FamilyAgg	2004	3	2251.0
Bangladesh	FamilyAgg	2005	0	0.9389303245841807
Bangladesh	FamilyAgg	2005	1	0.6953398112456067
Bangladesh	FamilyAgg	2005	2	2.3630964850212104
Bangladesh	FamilyAgg	2005	3	4438.0
Bangladesh	FamilyAgg	2006	0	0.9469589840729451
Bangladesh	FamilyAgg	2006	1	0.5049656547031243
Bangladesh	FamilyAgg	2006	2	2.122952772437438
Bangladesh	FamilyAgg	2006	3	4175.0
Bangladesh	FamilyAgg	2007	0	0.9576344600445019
Bangladesh	FamilyAgg	2007	1	0.8314498919482127
Bangladesh	FamilyAgg	2007	2	2.7664537618044953
Bangladesh	FamilyAgg	2007	3	3116.0
Bangladesh	FamilyAgg	2008	0	0.9546644439216591
Bangladesh	FamilyAgg	2008	1	0.6245993471697051
Bangladesh	FamilyAgg	2008	2	2.38672084568672
Bangladesh	FamilyAgg	2008	3	3314.0
Bangladesh	FamilyAgg	2009	0	0.9574148668201594
Bangladesh	FamilyAgg	2009	1	0.3611441807199459
Bangladesh	FamilyAgg	2009	2	1.3145096548443784
Bangladesh	FamilyAgg	2009	3	2624.0
Bangladesh	FamilyAgg	2010	0	0.9576872617641092
Bangladesh	FamilyAgg	2010	1	0.6122154320230853
Bangladesh	FamilyAgg	2010	2	2.932686191516839
Bangladesh	FamilyAgg	2010	3	1978.0
Bangladesh	FamilyAgg	2011	0	-1.0
Bangladesh	FamilyAgg	2011	1	-1.0
Bangladesh	FamilyAgg	2011	2	-1.0
Bangladesh	FamilyAgg	2011	3	2301.0
Bangladesh	FamilyAgg	2012	0	0.021786545255830875
Bangladesh	FamilyAgg	2012	1	0.11189280197215443
Bangladesh	FamilyAgg	2012	2	27.41033257983314
Bangladesh	FamilyAgg	2012	3	2296.0
Bangladesh	FamilyAgg	2013	0	-1.0
Bangladesh	FamilyAgg	2013	1	-1.0
Bangladesh	FamilyAgg	2013	2	-1.0
Bangladesh	FamilyAgg	2013	3	1301.0
Bangladesh	FamilyAgg	2014	0	-1.0
Bangladesh	FamilyAgg	2014	1	-1.0
Bangladesh	FamilyAgg	2014	2	-1.0
Bangladesh	FamilyAgg	2014	3	1508.0
Bangladesh	FamilyAgg	2015	0	-1.0
Bangladesh	FamilyAgg	2015	1	-1.0
Bangladesh	FamilyAgg	2015	2	-1.0
Bangladesh	FamilyAgg	2015	3	1919.0
Bangladesh	FamilyAgg	2016	0	0.9440469986358344
Bangladesh	FamilyAgg	2016	1	2.6970896130627118
Bangladesh	FamilyAgg	2016	2	3.636206272740823
Bangladesh	FamilyAgg	2016	3	1301.0
Bangladesh	FamilyAgg	2017	0	-1.0
Bangladesh	FamilyAgg	2017	1	-1.0
Bangladesh	FamilyAgg	2017	2	-1.0
Bangladesh	FamilyAgg	2017	3	1868.0
Bangladesh	FamilyAgg	2018	0	-1.0
Bangladesh	FamilyAgg	2018	1	-1.0
Bangladesh	FamilyAgg	2018	2	-1.0
Bangladesh	FamilyAgg	2018	3	1794.0
Bangladesh	FamilyAgg	2019	0	-1.0
Bangladesh	FamilyAgg	2019	1	-1.0
Bangladesh	FamilyAgg	2019	2	-1.0
Bangladesh	FamilyAgg	2019	3	2493.0
Bangladesh	FamilyAgg	2020	0	-1.0
Bangladesh	FamilyAgg	2020	1	-1.0
Bangladesh	FamilyAgg	2020	2	-1.0
Bangladesh	FamilyAgg	2020	3	1925.0
Bangladesh	Study	2004	0	0.43328408564499016
Bangladesh	Study	2004	1	0.5301561089335167
Bangladesh	Study	2004	2	3.718270794328756
Bangladesh	Study	2004	3	2245.0
Bangladesh	Study	2005	0	0.4671685551447621
Bangladesh	Study	2005	1	0.5775564383598305
Bangladesh	Study	2005	2	4.274040551010309
Bangladesh	Study	2005	3	3435.0
Bangladesh	Study	2006	0	0.4385991435648465
Bangladesh	Study	2006	1	0.6046853862405697
Bangladesh	Study	2006	2	4.4490564340480585
Bangladesh	Study	2006	3	3908.0
Bangladesh	Study	2007	0	0.38386030941961047
Bangladesh	Study	2007	1	0.6307459618395188
Bangladesh	Study	2007	2	4.417189186148012
Bangladesh	Study	2007	3	4045.0
Bangladesh	Study	2008	0	0.3216356769923834
Bangladesh	Study	2008	1	0.7307842480005102
Bangladesh	Study	2008	2	4.2269133663042275
Bangladesh	Study	2008	3	3953.0
Bangladesh	Study	2009	0	0.2329679813179797
Bangladesh	Study	2009	1	0.9239001281521259
Bangladesh	Study	2009	2	4.302043195987961
Bangladesh	Study	2009	3	17277.0
Bangladesh	Study	2010	0	0.21210668568549698
Bangladesh	Study	2010	1	0.889351158772197
Bangladesh	Study	2010	2	3.285697644236448
Bangladesh	Study	2010	3	10649.0
Bangladesh	Study	2011	0	0.17597360719028307
Bangladesh	Study	2011	1	1.0374710980263142
Bangladesh	Study	2011	2	2.9262565684935766
Bangladesh	Study	2011	3	6118.0
Bangladesh	Study	2012	0	0.1756738563061203
Bangladesh	Study	2012	1	1.244280494636969
Bangladesh	Study	2012	2	2.8585658161464105
Bangladesh	Study	2012	3	2709.0
Bangladesh	Study	2013	0	0.18007507463720474
Bangladesh	Study	2013	1	1.2991179824418537
Bangladesh	Study	2013	2	2.9143878143829838
Bangladesh	Study	2013	3	2075.0
Bangladesh	Study	2014	0	0.22988689366825993
Bangladesh	Study	2014	1	1.2589685922751337
Bangladesh	Study	2014	2	2.487993373331845
Bangladesh	Study	2014	3	2403.0
Bangladesh	Study	2015	0	0.2508059049292004
Bangladesh	Study	2015	1	1.1982042964287705
Bangladesh	Study	2015	2	2.6753394502101413
Bangladesh	Study	2015	3	1079.0
Bangladesh	Study	2016	0	0.3215763360937862
Bangladesh	Study	2016	1	1.7215199333921765
Bangladesh	Study	2016	2	2.44946155100203
Bangladesh	Study	2016	3	1009.0
Bangladesh	Study	2017	0	0.39403081530979034
Bangladesh	Study	2017	1	2.611272095905589
Bangladesh	Study	2017	2	2.415261572183841
Bangladesh	Study	2017	3	1182.0
Bangladesh	Study	2018	0	-1.0
Bangladesh	Study	2018	1	-1.0
Bangladesh	Study	2018	2	-1.0
Bangladesh	Study	2018	3	1371.0
Bangladesh	Study	2019	0	-1.0
Bangladesh	Study	2019	1	-1.0
Bangladesh	Study	2019	2	-1.0
Bangladesh	Study	2019	3	1868.0
Bangladesh	Study	2020	0	-1.0
Bangladesh	Study	2020	1	-1.0
Bangladesh	Study	2020	2	-1.0
Bangladesh	Study	2020	3	3268.0
Bangladesh	Work	2004	0	0.2666555289320518
Bangladesh	Work	2004	1	1.842406501151419
Bangladesh	Work	2004	2	1.5334344764995698
Bangladesh	Work	2004	3	2797.0
Bangladesh	Work	2005	0	0.24611441799199396
Bangladesh	Work	2005	1	1.9337490794808314
Bangladesh	Work	2005	2	1.520795170224627
Bangladesh	Work	2005	3	3958.0
Bangladesh	Work	2006	0	0.3316937959880587
Bangladesh	Work	2006	1	1.3611313961456362
Bangladesh	Work	2006	2	1.668480040791441
Bangladesh	Work	2006	3	3051.0
Bangladesh	Work	2007	0	0.3715977722684301
Bangladesh	Work	2007	1	1.0991905527992092
Bangladesh	Work	2007	2	2.012836468340311
Bangladesh	Work	2007	3	1803.0
Bangladesh	Work	2008	0	0.39896143022081176
Bangladesh	Work	2008	1	1.2725600289394063
Bangladesh	Work	2008	2	2.3808649542291636
Bangladesh	Work	2008	3	1717.0
Bangladesh	Work	2009	0	0.3630506382580002
Bangladesh	Work	2009	1	1.917562547910623
Bangladesh	Work	2009	2	2.5662397903865415
Bangladesh	Work	2009	3	1986.0
Bangladesh	Work	2010	0	0.5871851591157198
Bangladesh	Work	2010	1	0.7457625535568546
Bangladesh	Work	2010	2	1.959198098227965
Bangladesh	Work	2010	3	917.0
Bangladesh	Work	2011	0	0.594035259538594
Bangladesh	Work	2011	1	0.46540926649823355
Bangladesh	Work	2011	2	-0.09810101882035832
Bangladesh	Work	2011	3	655.0
Bangladesh	Work	2012	0	0.48642510717596144
Bangladesh	Work	2012	1	0.35579426260512403
Bangladesh	Work	2012	2	-0.15027849072145333
Bangladesh	Work	2012	3	742.0
Bangladesh	Work	2013	0	0.49618181338254314
Bangladesh	Work	2013	1	0.49062442326799915
Bangladesh	Work	2013	2	0.34241437694956867
Bangladesh	Work	2013	3	661.0
Bangladesh	Work	2014	0	0.4533562916134586
Bangladesh	Work	2014	1	0.30474433342159146
Bangladesh	Work	2014	2	-1.4999527797506693
Bangladesh	Work	2014	3	571.0
Bangladesh	Work	2015	0	0.2677045977766974
Bangladesh	Work	2015	1	0.2881048649968685
Bangladesh	Work	2015	2	-1.4999009061564754
Bangladesh	Work	2015	3	390.0
Bangladesh	Work	2016	0	0.5546312098570103
Bangladesh	Work	2016	1	0.7477190942042652
Bangladesh	Work	2016	2	1.1254115186230964
Bangladesh	Work	2016	3	432.0
Bangladesh	Work	2017	0	0.4566859112731777
Bangladesh	Work	2017	1	0.7556032875419236
Bangladesh	Work	2017	2	0.39139760633522325
Bangladesh	Work	2017	3	336.0
Bangladesh	Work	2018	0	-1.0
Bangladesh	Work	2018	1	-1.0
Bangladesh	Work	2018	2	-1.0
Bangladesh	Work	2018	3	463.0
Bangladesh	Work	2019	0	-1.0
Bangladesh	Work	2019	1	-1.0
Bangladesh	Work	2019	2	-1.0
Bangladesh	Work	2019	3	670.0
Bangladesh	Work	2020	0	-1.0
Bangladesh	Work	2020	1	-1.0
Bangladesh	Work	2020	2	-1.0
Bangladesh	Work	2020	3	572.0
China	FamilyAgg	2004	0	0.7684740706182889
China	FamilyAgg	2004	1	1.0326828690046956
China	FamilyAgg	2004	2	2.529750004184314
China	FamilyAgg	2004	3	920.0
China	FamilyAgg	2005	0	0.7557799748787939
China	FamilyAgg	2005	1	0.8984592640348292
China	FamilyAgg	2005	2	2.462148377782485
China	FamilyAgg	2005	3	823.0
China	FamilyAgg	2006	0	0.7725301563001465
China	FamilyAgg	2006	1	1.0147561836581298
China	FamilyAgg	2006	2	2.5600399975121517
China	FamilyAgg	2006	3	1165.0
China	FamilyAgg	2007	0	0.7536257348602424
China	FamilyAgg	2007	1	0.9387887418124901
China	FamilyAgg	2007	2	2.7610618398789644
China	FamilyAgg	2007	3	1307.0
China	FamilyAgg	2008	0	0.6954549305090774
China	FamilyAgg	2008	1	0.6818537138737335
China	FamilyAgg	2008	2	2.5728501224689766
China	FamilyAgg	2008	3	1834.0
China	FamilyAgg	2009	0	0.7195544562101198
China	FamilyAgg	2009	1	0.9245158643426383
China	FamilyAgg	2009	2	1.8337353507170568
China	FamilyAgg	2009	3	1241.0
China	FamilyAgg	2010	0	0.7430652213942073
China	FamilyAgg	2010	1	0.64860556431164
China	FamilyAgg	2010	2	1.1461073180048684
China	FamilyAgg	2010	3	1389.0
China	FamilyAgg	2011	0	0.7014019375256066
China	FamilyAgg	2011	1	1.101332547582338
China	FamilyAgg	2011	2	1.3396839722233418
China	FamilyAgg	2011	3	1256.0
China	FamilyAgg	2012	0	0.6640011200924882
China	FamilyAgg	2012	1	0.9692611160175308
China	FamilyAgg	2012	2	1.3382630645017706
China	FamilyAgg	2012	3	1385.0
China	FamilyAgg	2013	0	0.5498003834233047
China	FamilyAgg	2013	1	0.9492387180488233
China	FamilyAgg	2013	2	1.1317184787934815
China	FamilyAgg	2013	3	1460.0
China	FamilyAgg	2014	0	0.49630388665527975
China	FamilyAgg	2014	1	1.1473923664319443
China	FamilyAgg	2014	2	1.422647008456394
China	FamilyAgg	2014	3	1854.0
China	FamilyAgg	2015	0	0.2966498478664974
China	FamilyAgg	2015	1	0.32114825465820473
China	FamilyAgg	2015	2	-1.4999512778152964
China	FamilyAgg	2015	3	1939.0
China	FamilyAgg	2016	0	0.45203918619049543
China	FamilyAgg	2016	1	2.93515637349409
China	FamilyAgg	2016	2	1.5236108796790302
China	FamilyAgg	2016	3	1794.0
China	FamilyAgg	2017	0	0.4373988931694097
China	FamilyAgg	2017	1	2.234148333186109
China	FamilyAgg	2017	2	1.5597917637969887
China	FamilyAgg	2017	3	1846.0
China	FamilyAgg	2018	0	-1.0
China	FamilyAgg	2018	1	-1.0
China	FamilyAgg	2018	2	-1.0
China	FamilyAgg	2018	3	1684.0
